,Laboratorio,Medicamento / Insumo,Precio Referencia Retail 09/2017,Descuento Botiquín Las Condes,Precio referencial Botiquín de Las Condes
0,PHARMA INVESTI,ABRILAR 35mg/5ml JBE.X100ml,$4.399,81%,$827
1,HOSPIFARMA,AC.ACETIL SALICILICO 100mg X100COM.,$3.199,83%,$552
2,PASTEUR,AC.ACETIL SALICILICO 500mg CJ.X10TIRAS,$3.290,85%,$500
3,CHILE,AC.MEFENAMICO 500mg X10COM.,$1.199,70%,$357
4,RECALCINE,ACERDIL 10mg X30COM.,$22.999,25%,$17.249
5,RECALCINE,ACERDIL 20mg X30COM.REC.,$31.299,25%,$23.474
6,RECALCINE,ACERDIL 5mg X30COM.REC.,$11.999,25%,$8.999
7,RECALCINE,ACERDIL D X30COM.,$32.399,25%,$24.299
8,VALMA,ACIDO ASCORBICO 100mg X100COM.,$1.199,70%,$357
9,ANDROMACO,ACIDO VALPROICO 500mg X30COM.,$6.999,59%,$2.856
10,LABORATORIO CHILE,ACNERAL (B) 10mg X30CAP.BLANDAS,$25.099,20%,$20.079
11,LABORATORIO CHILE,ACNERAL (B) 20mg X30CAP.BLANDAS,$38.599,20%,$30.879
12,RECALCINE,ACOTOL X28COM.REC.,$13.399,25%,$10.049
13,RECALCINE,ACUODE 50.000UI PVO.SOL.X2SOB.,$13.099,50%,$6.550
14,LABORATORIO CHILE,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,$7.499,20%,$5.999
15,LABORATORIO CHILE,AEROFACIDOSE AEROCAMARA LACTANTE,$7.399,20%,$5.919
16,MEDIPHARM,AEROMED JARABE 100 ml.,$3.790,25%,$2.843
17,SANDERSON,AGUA BIDESTILADA 5ml X5AMP.,$1.299,95%,$60
18,RECALCINE,ALDINAM 100mg X30COM.REC.,$43.999,25%,$32.999
19,RECALCINE,ALDINAM 200mg X30COM.REC.,$68.399,25%,$51.299
20,RECALCINE,ALDINAM 50mg X30COM.REC.,$24.199,25%,$18.149
21,PASTEUR,ALDROX 70mg X10COM.REC.,$12.799,20%,$10.239
22,LABORATORIO CHILE,ALFADOXIN 4MG 30C,$11.099,35%,$7.214
23,ANDROMACO FARMA,ALIVAX (B) 75mg X30CAP.,$13.099,35%,$8.514
24,LABORATORIO CHILE,ALIVAX 150 MG 30 CAPSULAS,$21.299,35%,$13.844
25,LABORATORIO CHILE,ALIVAX 75MG X 30 COMP BE,$13.099,35%,$8.514
26,MINTLAB,ALOPURINOL 300mg X20COM.,$1.899,53%,$890
27,CHILE,ALPRAZOLAM (B) 0.50mg X30COM.,$1.099,46%,$590
28,CHILE,AMITRIPTILINA 25mg X100COM.,$1.799,47%,$952
29,CHILE,AMLODIPINO (B) 10mg X30COM.,$2.899,72%,$821
