,Laboratorio,Descripción Medicamento,Descuento,Precio referencial sin convenio 03/07/2018,Precio referencial redondeado El Botiquín 03/07/2018
0,GENERICOS,AMOXICILINA 500mg/5ml JBE.X60ml,70%,$ 1.999,$ 600
1,OPKO,AMOXICILINA 500mg/5ml JBE.X60ml,70%,$ 1.999,$ 600
2,MINTLAB,AMOXICILINA 500mg/5ml JBE.X60ml,70%,$ 1.999,$ 600
3,RECALCINE,AMOXICILINA 500mg/5ml JBE.X60ml,70%,$ 1.999,$ 600
4,ANDROMACO FARMA,AMOXICILINA 500mg/5ml JBE.X60ml,70%,$ 1.999,$ 600
5,LABORATORIO CHILE,AMOXICILINA 500mg/5ml JBE.X60ml,70%,$ 1.999,$ 600
6,GENERICOS,ATORVASTATINA (B) 10mg X30COM.,81%,$ 2.299,$ 437
7,GENERICOS,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
8,176-OPKO,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
9,220-MINTLAB,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
10,284-SYNTHON,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
11,298-SANITAS S.A.,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
12,3-ANDROMACO FARMA,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
13,43-LABORATORIO CHILE,ATORVASTATINA (B) 20mg X30COM.,80%,$ 2.999,$ 600
14,LABORATORIO CHILE,CALCEFOR D X60CAP.,93%,$ 8.999,$ 630
15,PHARMA INVESTI,CARBORON 300mg X50COM.,92%,$ 16.099,$ 1.288
16,LABORATORIO CHILE,CLONAZEPAM (B) 2mg X30COM.,85%,$ 4.799,$ 720
17,PHARMA INVESTI,ABRILAR 35mg/5ml JBE.X100ml,81%,$ 4.398,$ 836
18,MEDIPHARM,DEUCODOL FTE.200mg/5ml S.O.X120ml,91%,$ 5.699,$ 513
19,PHARMA INVESTI,NEBAPUL (B) 10mg X30COM.,61%,$ 10.899,$ 4.251
20,GENERICOS,OMEPRAZOL (B) 20mg X30CAP.,65%,$ 1.299,$ 455
21,PHARMA INVESTI,DAGOTIL 3mg X60COM.,93%,$ 29.099,$ 2.037
22,GENERICOS,VENLAFAXINA (B) 75mg X30COM.,89%,$ 13.999,$ 1.540
23,GENERICOS,VITAMINA ACD GTAS.X30ml,78%,$ 4.399,$ 968
24,220-MINTLAB,VITAMINA ACD GTAS.X30ml,78%,$ 4.399,$ 968
25,43-LABORATORIO CHILE,VITAMINA ACD GTAS.X30ml,78%,$ 4.399,$ 968
26,GENERICOS,ZOPICLONA 7.5mg X30COM.,87%,$ 4.299,$ 559
27,INTERPHARMA,ZOPICLONA 7.5mg X30COM.,87%,$ 4.299,$ 559
28,GENERICOS,AC.ACETIL SALICILICO 100mg X100COM.,83%,$ 3.399,$ 578
29,GENERICOS,AC.ACETIL SALICILICO 500mg CJ.X10TIRAS,85%,$ 3.290,$ 494
30,GENERICOS,ACIDO ASCORBICO 100mg X100COM.,70%,$ 1.199,$ 360
