,Descripción Medicamento,Laboratorio,Descuento,Precio referencial sin convenio 06/05/2019,Precio referencial con Descuento
0,CLAVAM DUO (BE) 875/125 COMP.X14,EUROFARMA CHILE S.A.,40%,$ 16.199,$ 9.719
1,CLAVAM DUO(BE) 875/125 COMP.X20,EUROFARMA CHILE S.A.,43%,$ 20.399,$ 11.627
2,ESC (BE) 10mg COM.X30,EUROFARMA CHILE S.A.,51%,$ 12.399,$ 6.076
3,ESC(BE) 20mg COM.X30,EUROFARMA CHILE S.A.,43%,$ 18.999,$ 10.829
4,IRTANA H(BE) 150/12.5 COM.X30,EUROFARMA CHILE S.A.,49%,$ 25.999,$ 13.259
5,IRTANA H(BE) 300/12.5 COM.X30,EUROFARMA CHILE S.A.,49%,$ 25.999,$ 13.259
6,LETICO (BE) 50mg COM.X30,EUROFARMA CHILE S.A.,78%,$ 18.099,$ 3.982
7,LETICO(BE) 100mg COM.X30,EUROFARMA CHILE S.A.,57%,$ 19.199,$ 8.256
8,LEVOXIN (BE)500mg COMP.X10,EUROFARMA CHILE S.A.,45%,$ 19.799,$ 10.889
9,LEVOXIN(BE) 500mg COMP.X7,EUROFARMA CHILE S.A.,58%,$ 15.999,$ 6.720
10,LUCASTE(BE) 4mg COM.X30,EUROFARMA CHILE S.A.,41%,$ 17.999,$ 10.619
11,LUCASTE(BE) 5mg COM.X30,EUROFARMA CHILE S.A.,37%,$ 16.999,$ 10.709
12,VERALPRES(BE) 160mg COMP.X30,EUROFARMA CHILE S.A.,30%,$ 10.899,$ 7.629
13,(B) ABACTEN 500mg COMP.X6,ANDROMACO FARMA,30%,$ 21.999,$ 15.399
14,(B) AMLODIPINO 5mg COMP.X30,SEVEN PHARMA CHILE SPA,73%,$ 3.699,$ 999
15,(B) AMLODIPINO 5mg COMP.X30,ByB FARMACEUTICA,73%,$ 3.699,$ 999
16,(B) AMOLEX DUO 875/125 COMP.X14,ANDROMACO FARMA,30%,$ 22.499,$ 15.749
17,(B) AMOLEX DUO 875/125 COMP.X20,ANDROMACO FARMA,30%,$ 25.999,$ 18.199
18,(B) AMOXIC/CLAVUL 875/125 COM.X20,ASCEND LABORATORIES SPA,72%,$ 12.599,$ 3.528
19,(B) ARATAN 100mg COMP.X30,ANDROMACO FARMA,30%,$ 20.399,$ 14.279
20,(B) ARATAN 50mg COMP.X30,ANDROMACO FARMA,30%,$ 18.399,$ 12.879
21,(B) BERSEN 20mg COMP.X20,PASTEUR,23%,$ 6.399,$ 4.927
22,(B) BIVIR 150mg COMP.X60,ANDROMACO FARMA,30%,$ 86.999,$ 60.899
23,(B) CLARIMAX 500mg COMP.X14,ANDROMACO FARMA,30%,$ 25.999,$ 18.199
24,(B) CLARIMAX 500mg COMP.X20,ANDROMACO FARMA,30%,$ 26.199,$ 18.339
25,(B) CLOPIDOGREL 75mg COMP.X30,LABORATORIO CHILE,25%,$ 12.999,$ 9.749
26,(B) COAROL 4mg COMP.X20,ANDROMACO FARMA,20%,$ 13.999,$ 11.199
27,(B) COXDOS 200mg CAP.X30,ANDROMACO FARMA,30%,$ 32.199,$ 22.539
28,(B) DEZARTAL 6mg COMP.X30,ANDROMACO FARMA,30%,$ 31.199,$ 21.839
29,(B) ECTIBAN 20mg COMP.X30,LABORATORIO CHILE,35%,$ 37.699,$ 24.504
30,(B) ESCITALOPRAM 10mg COMP.X30,GENERICOS,30%,$ 10.099,$ 7.069
