,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio julio 2020,Descuento,Precio referencial con Descuento julio 2020
0,ACEITES DE PERSEA GRATISSIMA Y GLYCINE,PIASCLEDINE CAPS.X30,PHARMA INVESTI,$26.299,20%,$21.039
1,ACENOCUMAROL,(B) COAROL 4mg COMP.X20,ANDROMACO FARMA,$13.999,20%,$11.199
2,ACENOCUMAROL,ACEBRON (B) 4mg X20COM.,RECALCINE,$19.999,20%,$15.999
3,ACICLOVIR,EUROVIR 800mg X35COM.,SAVAL S.A.,$58.099,15%,$49.384
4,ACICLOVIR,ZOVIRAX IV 250mg/5ml X5AMP.,GLAXO,$105.999,93%,$7.420
5,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X15g,LABORATORIO CHILE,$2.399,82%,$432
6,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X5g,LABORATORIO CHILE,$1.599,75%,$400
7,ACIDO ACETILSALICILICO,(R) ASPIRINA PED.COMP.X42,BAYER OTC,$3.999,15%,$3.399
8,ACIDO ACETILSALICILICO,(R) CARDIOASPIRINA EC 100mg X50,BAYER OTC,$10.499,10%,$9.449
9,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO 100mg X100COM.,HOSPIFARMA,$3.799,83%,$646
10,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg TIRA X10TAB.,BAYER OTC,$1.999,71%,$580
11,ACIDO FOLICO,FOLACID 5mg COMP.X30,ITF (EX LABOMED),$4.499,81%,$855
12,ACIDO FOLICO,FOLISANIN 1mg X30COM.,SANITAS S.A.,$4.499,87%,$585
13,ACIDO FOLICO,FOLVIT 5mg COMP.X30,ANDROMACO FARMA,$5.999,30%,$4.199
14,ACIDO FOLICO,MILISER 1mg X30COM.,RECALCINE,$10.499,79%,$2.205
15,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL 30 capsulas,MEDIPHARM,$10.299,25%,$7.724
16,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X 60 CAPSULAS BLANDAS,MEDIPHARM,$19.988,25%,$14.991
17,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,HOSPIFARMA,$1.599,72%,$448
18,ACIDO MEFENAMICO,SICADOL FTE.(B) 500mg X20COM.,SYNTHON,$4.899,86%,$686
19,ACIDO TRANEXAMICO,ESPERCIL 500mg X20COM.REC.,GRUNENTHAL,$63.899,42%,$37.061
20,ACIDO URSODESOXICOLICO,FUROKAL 250mg X100CAP.,RECALCINE,$70.999,25%,$53.249
21,ACIDO URSODESOXICOLICO,FUROKAL 500mg X50CAP.,RECALCINE,$77.999,25%,$58.499
