,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio septiembre 2020,Descuento,Precio referencial con convenio septiembre 2020
0,ACEITES DE PERSEA GRATISSIMA Y GLYCINE,PIASCLEDINE CAPS.X30,PHARMA INVESTI,$26.299,23%,$20.250
1,ACENOCUMAROL,(B) COAROL 4mg COMP.X20,ANDROMACO FARMA,$13.999,20%,$11.199
2,ACENOCUMAROL,ACEBRON (B) 4mg X20COM.,RECALCINE,$19.999,20%,$15.999
3,ACENOCUMAROL,ISQUELIUM (B) 4mg X30COM.,SYNTHON,$9.499,20%,$7.599
4,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X15g,LABORATORIO CHILE,$2.399,82%,$432
5,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X5g,LABORATORIO CHILE,$1.599,70%,$480
6,ACIDO ACETILSALICILICO,(R) ASPIRINA PED.COMP.X42,BAYER OTC,$3.999,11%,$3.559
7,ACIDO ACETILSALICILICO,(R) CARDIOASPIRINA EC 100mg X50,BAYER OTC,$10.499,10%,$9.449
8,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO 100mg X100COM.,HOSPIFARMA,$3.799,83%,$646
9,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg TIRA X10TAB.,BAYER OTC,$1.999,70%,$600
10,ACIDO ASCORBICO,CREVET LIGHT EFERV. X10SOB.,PRATER,$3.799,33%,$2.545
11,ACIDO FOLICO,FOLACID 5mg COMP.X30,ITF (EX LABOMED),$4.499,81%,$855
12,ACIDO FOLICO,FOLISANIN 1mg X30COM.,SANITAS S.A.,$4.499,87%,$585
13,ACIDO FOLICO,FOLVIT 5mg COMP.X30,ANDROMACO FARMA,$5.999,25%,$4.499
14,ACIDO FOLICO,MILISER 1mg X30COM.,RECALCINE,$10.499,79%,$2.205
15,ACIDO FOLICO,MILISER 5mg X30COM.,RECALCINE,$10.499,30%,$7.349
16,ACIDO GLUTAMICO + PIRIDOXINA,HEXALECTOL X50GRA.,SYNTHON,$19.999,40%,$11.999
17,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL 30 capsulas,MEDIPHARM,$10.299,25%,$7.724
18,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X 60 CAPSULAS BLANDAS,MEDIPHARM,$19.988,25%,$14.991
19,ACIDO HIALURONICO,SODYAL SOF. X10ml,RECETARIO,$9.999,46%,$5.399
20,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,HOSPIFARMA,$1.599,67%,$528
21,ACIDO MEFENAMICO,SICADOL FTE.(B) 500mg X20COM.,SYNTHON,$4.899,86%,$686
22,ACIDO TRANEXAMICO,ESPERCIL 500mg X20COM.REC.,GRUNENTHAL,$63.899,42%,$37.061
23,ACIDO URSODESOXICOLICO,FUROKAL 250mg X100CAP.,RECALCINE,$70.999,25%,$53.249
24,ACIDO URSODESOXICOLICO,FUROKAL 500mg X50CAP.,RECALCINE,$77.999,25%,$58.499
25,ACIDO URSODESOXICOLICO,SOLVOBIL 250mg COMP.X100,SILESIA,$86.099,75%,$21.525
26,ACIDO URSODESOXICOLICO,URSOFALK 250mg/5ml S.O.X250ml,BIOTOSCANA,$65.499,12%,$57.639
27,ACIDO VALPROICO,AC.VALPROICO 375mg/ml GTAS.ORAL.X25ml,ANDROMACO FARMA,$11.499,77%,$2.645
28,ACIDO VALPROICO,ACIDO VALPROICO 500mg X30COM.,ANDROMACO FARMA,$7.799,62%,$2.964
29,ACIDO VALPROICO,ATEMPERATOR 250mg X50COM.REC.,FERRER,$26.499,45%,$14.574
30,ACIDO VALPROICO,VALCOTE ER 250mg X50COM.REC.,ABBOTT FARMA,$45.999,52%,$22.080
31,ACIDO VALPROICO,DIVALPREX (B) 250mg X50COM.REC.,GADORPHARMA SPA,$20.899,45%,$11.494
32,ADIFENINA + PROPIFENAZONA,SAE AD.X6SUP.,PASTEUR,$11.999,58%,$5.040
33,ADIFENINA + PROPIFENAZONA,SAE PED.X6SUP.,PASTEUR,$7.999,63%,$2.960
34,AEROCAMARA,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,LABORATORIO CHILE,$8.299,15%,$7.054
35,AEROCAMARA,AEROFACIDOSE AEROCAMARA LACTANTE,LABORATORIO CHILE,$8.299,81%,$1.577
36,AEROCAMARA,MED CELL AEROCAMARA UNIVERSAL,MEDCELL ACCESORIOS,$5.499,20%,$4.399
37,ALBENDAZOL,VERMOIL 200mg X2COM.,FARMOQUIMICA DEL PACIFICO,$4.599,16%,$3.863
38,ALBENDAZOL,ZENTEL 400mg X1COM.,GLAXO,$15.999,82%,$2.880
39,ALBENDAZOL,ZENTEL 400mg X3COM.,GLAXO,$25.999,69%,$8.060
40,ALCOHOL DESNATURALIZADO,ALCOGEL 70 JB.LIQ.X340ml,DIFEM PHARMA S.A.,$2.299,14%,$1.977
41,ALCOHOL POLIVINILICO + CLOROBUTANOL,LAGRIMAS ARTIFICIALES SOF.X15ml,HOSPIFARMA,$2.799,60%,$1.120
42,ALENDRONATO,ALDROX 70mg X10COM.REC.,PASTEUR,$12.999,20%,$10.399
43,ALENDRONATO,LEODRIN (B) 70mg X12COM.REC.,RECALCINE,$22.999,88%,$2.760
44,ALENDRONATO,HOLADREN 7d 70mg X10COM.,LABORATORIO CHILE,$13.999,20%,$11.199
45,ALENDRONATO + CALCIO + VIT D,LEODRIN 70 DUO X4/56COM.REC.,RECALCINE,$22.499,25%,$16.874
46,ALENDRONATO + COLECALCIFEROL,LEODRIN PLUS 5600 X5COM.,RECALCINE,$29.499,25%,$22.124
47,ALOPURINOL,ALOPURINOL 300mg X20COM.,HOSPIFARMA,$2.499,53%,$1.175
48,ALPRAZOLAM,ALPRAZOLAM (B) 0.50mg X30COM.,LABORATORIO CHILE,$1.399,46%,$755
49,ALUMINIO HIDROXIDO,HIDROXIDO ALUMINIO 6% SOL.X180ml,LABORATORIO CHILE,$2.399,38%,$1.487
50,AMANTADINA,PRAYANOL100mg X30CAP.,SANITAS S.A.,$12.699,22%,$9.905
51,AMANTADINA,MANTRA 100mg X20COM.,EUROFARMA CHILE S.A.,$4.999,22%,$3.899
52,AMBROXOL,AMBROXOL 15mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.499,60%,$600
53,AMBROXOL,AMBROXOL 30mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.799,67%,$594
54,AMBROXOL,PAZBRONQ ADULTO JARABE X 100 ML.,MEDIPHARM,$3.999,42%,$2.319
55,AMIODARONA,AMIODARONA 200mg COMP.X20,HOSPIFARMA,$3.199,30%,$2.239
56,AMITRIPTILINA,AMITRIPTILINA 25mg X100COM.,LABORATORIO CHILE,$2.699,47%,$1.430
57,AMITRIPTILINA + CLORDIAZEPOXIDO,MORELIN 30CR,LABORATORIO CHILE,$18.999,35%,$12.349
58,AMITRIPTILINA + CLORDIAZEPOXIDO,ANTALIN X30COM.,SAVAL S.A.,$21.399,35%,$13.909
59,AMLODIPINO,AMLODIPINO (B) 10mg X30COM.,OPKO,$2.099,70%,$630
60,AMLODIPINO,AMLODIPINO 5mg X30COM.,OPKO,$2.799,70%,$840
61,AMLODIPINO + BISOPROLOL,CONCOR AM 5 5mg COMP.X30,MERCK SA CHILE,$31.599,36%,$20.223
62,AMLODIPINO + VALSARTAN,AMPLEX 10 MG/ 160 MG 30 CR,LABORATORIO CHILE,$26.799,35%,$17.419
63,AMLODIPINO + VALSARTAN,AMPLEX 5 MG/ 160 MG 30 CR,LABORATORIO CHILE,$27.999,35%,$18.199
64,AMLODIPINO + VALSARTAN,AMPLEX 5 MG/ 80 MG 30 CR,LABORATORIO CHILE,$22.999,32%,$15.639
65,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X28COM.REC.,AXON PHARMA,$38.899,14%,$33.453
66,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X56COM.REC.,AXON PHARMA,$60.499,14%,$52.029
67,AMLODIPINO + VALSARTAN,EXFORGE 10/320 X28COM.REC.,AXON PHARMA,$37.499,11%,$33.374
68,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X28COM.REC.,AXON PHARMA,$42.099,20%,$33.679
69,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X56COM.REC.,AXON PHARMA,$74.999,20%,$59.999
70,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X28COM.REC.,AXON PHARMA,$37.499,14%,$32.249
71,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X56COM.REC.,AXON PHARMA,$55.999,20%,$44.799
72,AMLODIPINO + VALSARTAN,EXFORGE 5/80 X56COM.REC.,AXON PHARMA,$59.299,14%,$50.997
73,AMLODIPINO + VALSARTAN,VALAXAM 80/5 X30COM.REC.,SAVAL S.A.,$28.099,20%,$22.479
74,AMLODIPINO + VALSARTAN,VALAXAM 320/10 X30COM.REC,SAVAL S.A.,$26.999,20%,$21.599
75,AMLODIPINO + VALSARTAN,VARTALAN AM 5/320 X30COM.REC.,RECALCINE,$22.999,20%,$18.399
76,AMLODIPINO + VALSARTAN,VALAXAM 160/5 X30COM.REC.,SAVAL S.A.,$30.899,20%,$24.719
77,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/160/12.5 X28COM.REC.,AXON PHARMA,$40.199,18%,$32.963
78,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/320/25 X28COM.REC.,AXON PHARMA,$39.199,14%,$33.711
79,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 5/160/12.5 X28COM.REC.,AXON PHARMA,$53.599,20%,$42.879
80,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,AMPLEX D 160/10/12.5 X30COM.REC.,LABORATORIO CHILE,$21.399,20%,$17.119
81,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,AMPLIRON VL H 10/320/25 X28CAP.,PHARMA INVESTI,$19.999,20%,$15.999
82,AMOXICILINA,AMOXICILINA 500mg/5ml JBE.X60ml,OPKO,$1.799,70%,$540
83,AMOXICILINA,AMOXICILINA 750mg X10COM.,HOSPIFARMA,$2.199,66%,$748
84,AMOXICILINA,AMOXICILINA 500mg X21CAP.,OPKO,$3.999,73%,$1.080
85,AMOXICILINA,AMOXICILINA 250mg/5ml S.O.X60ml,OPKO,$1.599,56%,$704
86,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (BE) 875/125 COMP.X14,EUROFARMA CHILE S.A.,$17.899,40%,$10.739
