,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio enero 2021,Descuento,Precio referencial con convenio enero 2021
0,ACEITES DE PERSEA GRATISSIMA Y GLYCINE,PIASCLEDINE CAPS.X30,PHARMA INVESTI,$25.999,23%,$20.019
1,ACENOCUMAROL,ACEBRON (B) 4mg X20COM.,RECALCINE,$19.999,20%,$15.999
2,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X15g,LABORATORIO CHILE,$2.399,82%,$432
3,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X5g,LABORATORIO CHILE,$1.599,70%,$480
4,ACIDO ACETILSALICILICO,(R) ASPIRINA PED.COMP.X42,BAYER OTC,$3.999,11%,$3.559
5,ACIDO ACETILSALICILICO,(R) CARDIOASPIRINA EC 100mg X50,BAYER OTC,$10.499,10%,$9.449
6,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO 100mg X100COM.,HOSPIFARMA,$3.799,83%,$646
7,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg TIRA X10TAB.,BAYER OTC,$1.999,70%,$600
8,ACIDO FOLICO,FOLACID 5mg COMP.X30,ITF (EX LABOMED),$4.699,81%,$893
9,ACIDO FOLICO,FOLISANIN 1mg X30COM.,SANITAS S.A.,$4.499,87%,$585
10,ACIDO FOLICO,FOLVIT 5mg COMP.X30,ANDROMACO FARMA,$5.999,25%,$4.499
11,ACIDO FOLICO,MILISER 1mg X30COM.,RECALCINE,$10.499,79%,$2.205
12,ACIDO FOLICO,MILISER 5mg X30COM.,RECALCINE,$10.499,30%,$7.349
13,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL 30 capsulas,MEDIPHARM,$10.299,25%,$7.724
14,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X 60 CAPSULAS BLANDAS,MEDIPHARM,$19.988,25%,$14.991
15,ACIDO HIALURONICO,SODYAL SOF. X10ml,RECETARIO,$9.999,46%,$5.399
16,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,HOSPIFARMA,$1.599,67%,$528
17,ACIDO MEFENAMICO,SICADOL FTE.(B) 500mg X20COM.,SYNTHON,$4.899,86%,$686
18,ACIDO TRANEXAMICO,ESPERCIL 500mg X20COM.REC.,GRUNENTHAL,$65.899,42%,$38.221
19,ACIDO URSODESOXICOLICO,FUROKAL 250mg X100CAP.,RECALCINE,$70.999,25%,$53.249
20,ACIDO URSODESOXICOLICO,FUROKAL 500mg X50CAP.,RECALCINE,$77.999,25%,$58.499
21,ACIDO URSODESOXICOLICO,SOLVOBIL 250mg COMP.X100,SILESIA,$88.699,75%,$22.175
22,ACIDO URSODESOXICOLICO,URSOFALK 250mg/5ml S.O.X250ml,BIOTOSCANA,$65.499,12%,$57.639
23,ACIDO VALPROICO,AC.VALPROICO 375mg/ml GTAS.ORAL.X25ml,ANDROMACO FARMA,$11.499,77%,$2.645
24,ACIDO VALPROICO,ACIDO VALPROICO 500mg X30COM.,ANDROMACO FARMA,$7.799,62%,$2.964
25,ACIDO VALPROICO,ATEMPERATOR 250mg X50COM.REC.,FERRER,$26.499,45%,$14.574
26,ACIDO VALPROICO,VALCOTE ER 250mg X50COM.REC.,ABBOTT FARMA,$45.999,52%,$22.080
27,ACIDO VALPROICO,DIVALPREX (B) 250mg X50COM.REC.,GADORPHARMA SPA,$20.899,45%,$11.494
28,ADIFENINA + PROPIFENAZONA,SAE AD.X6SUP.,PASTEUR,$11.999,58%,$5.040
29,ADIFENINA + PROPIFENAZONA,SAE PED.X6SUP.,PASTEUR,$7.999,63%,$2.960
30,AEROCAMARA,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,LABORATORIO CHILE,$8.299,15%,$7.054
31,AEROCAMARA,AEROFACIDOSE AEROCAMARA LACTANTE,LABORATORIO CHILE,$8.299,81%,$1.577
32,AEROCAMARA,MED CELL AEROCAMARA UNIVERSAL,MEDCELL ACCESORIOS,$5.499,20%,$4.399
33,ALBENDAZOL,VERMOIL 200mg X2COM.,FARMOQUIMICA DEL PACIFICO,$4.599,16%,$3.863
34,ALBENDAZOL,ZENTEL 400mg X3COM.,GLAXO,$25.999,69%,$8.060
35,ALBENDAZOL,VERMOIL 40mg SUSP.10ml,FARMOQUIMICA DEL PACIFICO,$6.799,36%,$4.351
36,ALCOHOL DESNATURALIZADO,ALCOGEL 70 JB.LIQ.X340ml,DIFEM PHARMA S.A.,$2.299,14%,$1.977
37,ALCOHOL POLIVINILICO + CLOROBUTANOL,LAGRIMAS ARTIFICIALES SOF.X15ml,HOSPIFARMA,$2.799,60%,$1.120
38,ALENDRONATO,ALDROX 70mg X10COM.REC.,PASTEUR,$12.999,20%,$10.399
39,ALENDRONATO,LEODRIN (B) 70mg X12COM.REC.,RECALCINE,$22.999,88%,$2.760
40,ALENDRONATO,FOSVAL (B) 70mg COMP.X12,SAVAL S.A.,$24.599,20%,$19.679
41,ALENDRONATO + CALCIO + VIT D,LEODRIN 70 DUO X4/56COM.REC.,RECALCINE,$22.499,25%,$16.874
42,ALOPURINOL,ALOPURINOL 300mg X20COM.,HOSPIFARMA,$2.499,53%,$1.175
43,ALPRAZOLAM,ALPRAZOLAM (B) 0.50mg X30COM.,LABORATORIO CHILE,$1.399,46%,$755
44,ALUMINIO HIDROXIDO,HIDROXIDO ALUMINIO 6% SOL.X180ml,LABORATORIO CHILE,$2.399,38%,$1.487
45,AMANTADINA,PRAYANOL100mg X30CAP.,SANITAS S.A.,$12.699,22%,$9.905
46,AMBROXOL,AMBROXOL 15mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.499,60%,$600
47,AMBROXOL,AMBROXOL 30mg/5ml JBE.X100ml,ANDROMACO FARMA,$1.799,67%,$594
48,AMBROXOL,PAZBRONQ ADULTO JARABE X 100 ML.,MEDIPHARM,$3.999,42%,$2.319
49,AMIODARONA,AMIODARONA 200mg COMP.X20,HOSPIFARMA,$3.599,30%,$2.519
50,AMITRIPTILINA,AMITRIPTILINA 25mg X100COM.,LABORATORIO CHILE,$2.699,47%,$1.430
51,AMITRIPTILINA + CLORDIAZEPOXIDO,MORELIN 30CR,LABORATORIO CHILE,$18.999,35%,$12.349
52,AMITRIPTILINA + CLORDIAZEPOXIDO,ANTALIN X30COM.,SAVAL S.A.,$21.399,35%,$13.909
53,AMLODIPINO,AMLODIPINO (B) 10mg X30COM.,OPKO,$2.099,70%,$630
54,AMLODIPINO,AMLODIPINO 5mg X30COM.,OPKO,$2.799,70%,$840
55,AMLODIPINO + BISOPROLOL,CONCOR AM 5 5mg COMP.X30,MERCK SA CHILE,$32.599,36%,$20.863
56,AMLODIPINO + VALSARTAN,AMPLEX 10 MG/ 160 MG 30 CR,LABORATORIO CHILE,$26.799,35%,$17.419
57,AMLODIPINO + VALSARTAN,AMPLEX 5 MG/ 160 MG 30 CR,LABORATORIO CHILE,$27.999,35%,$18.199
58,AMLODIPINO + VALSARTAN,AMPLEX 5 MG/ 80 MG 30 CR,LABORATORIO CHILE,$22.999,32%,$15.639
59,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X28COM.REC.,AXON PHARMA,$40.899,14%,$35.173
60,AMLODIPINO + VALSARTAN,EXFORGE 10/160 X56COM.REC.,AXON PHARMA,$63.599,14%,$54.695
61,AMLODIPINO + VALSARTAN,EXFORGE 10/320 X28COM.REC.,AXON PHARMA,$39.399,11%,$35.065
62,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X28COM.REC.,AXON PHARMA,$44.299,20%,$35.439
63,AMLODIPINO + VALSARTAN,EXFORGE 5/160 X56COM.REC.,AXON PHARMA,$78.799,20%,$63.039
64,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X28COM.REC.,AXON PHARMA,$39.399,14%,$33.883
65,AMLODIPINO + VALSARTAN,EXFORGE 5/320 X56COM.REC.,AXON PHARMA,$58.799,20%,$47.039
66,AMLODIPINO + VALSARTAN,EXFORGE 5/80 X56COM.REC.,AXON PHARMA,$62.299,14%,$53.577
67,AMLODIPINO + VALSARTAN,VALAXAM 80/5 X30COM.REC.,SAVAL S.A.,$28.099,20%,$22.479
68,AMLODIPINO + VALSARTAN,VALAXAM 320/10 X30COM.REC,SAVAL S.A.,$26.999,20%,$21.599
69,AMLODIPINO + VALSARTAN,VALAXAM 160/5 X30COM.REC.,SAVAL S.A.,$30.899,20%,$24.719
70,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/160/12.5 X28COM.REC.,AXON PHARMA,$42.299,18%,$34.685
71,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 10/320/25 X28COM.REC.,AXON PHARMA,$41.199,14%,$35.431
72,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,EXFORGE D 5/160/12.5 X28COM.REC.,AXON PHARMA,$56.299,20%,$45.039
73,AMLODIPINO + VALSARTAN + HIDROCLOROTIAZI,AMPLEX D 160/10/12.5 X30COM.REC.,LABORATORIO CHILE,$21.399,20%,$17.119
74,AMOXICILINA,AMOXICILINA 500mg/5ml JBE.X60ml,OPKO,$1.799,70%,$540
75,AMOXICILINA,AMOXICILINA 750mg X10COM.,HOSPIFARMA,$2.199,66%,$748
76,AMOXICILINA,AMOXICILINA 500mg X21CAP.,OPKO,$3.999,73%,$1.080
77,AMOXICILINA,AMOXICILINA 250mg/5ml S.O.X60ml,OPKO,$1.599,56%,$704
78,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO (BE) 875/125 COMP.X14,EUROFARMA CHILE S.A.,$17.899,40%,$10.739
79,AMOXICILINA + ACIDO CLAVULANICO,CLAVAM DUO(BE) 875/125 COMP.X20,EUROFARMA CHILE S.A.,$22.599,43%,$12.881
80,AMOXICILINA + ACIDO CLAVULANICO,AMOX/AC.CLAVULANICO (B) 875/125 X20COM.,OPKO,$11.399,62%,$4.332
81,AMOXICILINA + ACIDO CLAVULANICO,AMOXICILINA/CLAVUL (B) 500/125 X20COM.,OPKO,$6.099,53%,$2.867
82,AMOXICILINA + ACIDO CLAVULANICO,MAXIMOX (B) 875/125 X14COM.REC.,PASTEUR,$14.999,16%,$12.599
83,AMOXICILINA + ACIDO CLAVULANICO,MAXIMOX (B) 875/125 X20COM.REC.,PASTEUR,$16.999,5%,$16.149
84,AMOXICILINA + ESOMEPRAZOL + CLARITROMICI,ZOMEL HP DOSIS X28,SAVAL S.A.,$43.699,32%,$29.715
85,AMOXICILINA + LANSOPRAZOL + CLARITROMICI,LANZOPRAL HELIPACK X14DS.,PHARMA INVESTI,$37.899,34%,$25.013
86,ANTAZOLINA + NAFAZOLINA,OFTALIRIO SOF.X10ml,SAVAL S.A.,$11.499,31%,$7.934
87,APIXABAN,ELIQUIS 5mg X60COM.,PFIZER,$81.399,30%,$56.979
88,ARIPIPRAZOL,AZYMOL 10mg X30COM.,RECALCINE,$48.499,25%,$36.374
89,ARIPIPRAZOL,AZYMOL 15mg X30COM.,RECALCINE,$72.499,68%,$23.200
