,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
0,ACEITES DE PERSEA GRATISSIMA Y GLYCINE,PIASCLEDINE X30CAP.,PHARMA INVESTI,$ 27.699,23%,$ 21.328
1,ACENOCUMAROL,ACEBRON (B) 4mg X20COM.,RECALCINE,$ 19.999,15%,$ 16.999
2,ACENOCUMAROL,ISQUELIUM (B) 4mg X30COM.,SYNTHON,$ 9.899,39%,$ 6.038
3,ACETAZOLAMIDA,ACETAZOLAMIDA 250mg X20COM.,BPH S.A,$ 5.199,57%,$ 2.236
4,ACICLOVIR,ACICLOVIR (B) 400mg X35COM.,LABORATORIO CHILE,$ 7.799,47%,$ 4.133
5,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X5g,LABORATORIO CHILE,$ 1.599,57%,$ 688
6,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X15g,LABORATORIO CHILE,$ 2.399,71%,$ 696
7,ACIDO ACETILSALICILICO,CARDIOASPIRINA EC (R) 100mg X50TAB.,BAYER OTC,$ 11.399,10%,$ 10.259
8,ACIDO ACETILSALICILICO,ASPIRINA PED.(R) 100mg X42COM.,BAYER OTC,$ 3.999,11%,$ 3.559
9,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg TIRA X10TAB.,BAYER OTC,$ 1.999,15%,$ 1.699
10,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg CJ.X10TIRAS,BAYER OTC,$ 10.099,45%,$ 5.554
11,ACIDO ACETILSALICILICO,(R) CARDIOASPIRINA EC 325mg X30,BAYER OTC,$ 15.699,54%,$ 7.222
12,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO (B) 100mg X100COM.,OPKO,$ 3.999,61%,$ 1.560
13,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO (B) 100mg X100COM.,HOSPIFARMA,$ 3.799,64%,$ 1.368
14,ACIDO ASCORBCIO,VITAMINA C 100mg X200COM.,ByB FARMACEUTICA,$ 2.999,54%,$ 1.380
15,ACIDO CONDROITINSULFURICO,CONDROSULF 800mg COMP.X30,ITF (EX LABOMED),$ 47.099,42%,$ 27.317
16,ACIDO FOLICO,FOLISANIN 1mg X30COM.,SANITAS S.A.,$ 5.099,50%,$ 2.550
17,ACIDO FOLICO,FOLACID 5mg X30COM.,ITF (EX LABOMED),$ 5.099,50%,$ 2.550
18,ACIDO FOLICO,ACIDO FOLICO 5mg X30COM.,ByB FARMACEUTICA,$ 3.399,59%,$ 1.394
19,ACIDO FOLICO,ACIDO FOLICO 1mg X30COM.,ByB FARMACEUTICA,$ 2.999,64%,$ 1.080
20,ACIDO FUSIDICO + HIDROCORTISONA ACETATO,FUCIDIN H CR 15g,DEUTSCHE PHARMA S.A.,$ 28.199,24%,$ 21.431
21,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X30CAP.BLANDAS,MEDIPHARM,$ 10.699,25%,$ 8.024
22,"ACIDO GLUTAMICO, COMPLEJO B",VITABRAL X60CAP.BLANDAS,MEDIPHARM,$ 20.999,25%,$ 15.749
23,ACIDO MEFENAMICO,SICADOL FTE.(B) 500mg X20COM.,SYNTHON,$ 3.299,39%,$ 2.012
24,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,LABORATORIO CHILE,$ 1.499,62%,$ 570
25,ACIDO MEFENAMICO,AC.MEFENAMICO 500mg X10COM.,HOSPIFARMA,$ 1.599,67%,$ 528
26,ACIDO SALICILICO + ACIDO LACTICO + COLODION,VERRUFILM SOL.X14ml,D&M PHARMA S.A.,$ 24.699,36%,$ 15.807
27,ACIDO URSODESOXICOLICO,URSOFALK 250mg/5ml S.O.X250ml,BIOTOSCANA,$ 67.499,15%,$ 57.374
28,ACIDO URSODESOXICOLICO,URSOFALK 500mg X50COM.REC,BIOTOSCANA,$ 126.899,21%,$ 100.250
29,ACIDO URSODESOXICOLICO,FUROKAL 250mg X100CAP.,ABBOTT ETICO,$ 70.999,32%,$ 48.279
30,ACIDO URSODESOXICOLICO,SOLVOBIL 250mg X100COM.,SILESIA,$ 91.399,40%,$ 54.839
31,ACIDO VALPROICO,VALCOTE 125mg COMP.X20,RECALCINE,$ 9.999,15%,$ 8.499
32,ACIDO VALPROICO,DEPAKENE 250mg/5ml JBE.120ml,RECALCINE,$ 18.999,22%,$ 14.819
33,ACIDO VALPROICO,ATEMPERATOR 250mg X50COM.REC.,FERRER,$ 28.899,30%,$ 20.229
34,ACIDO VALPROICO,VALCOTE ER 250mg X50COM.REC.,ABBOTT FARMA,$ 45.999,31%,$ 31.739
35,ACIDO VALPROICO,DIVALPREX (B) 500mg X50COM.REC.,GADORPHARMA SPA,$ 21.399,38%,$ 13.267
36,ACIDO VALPROICO,ACIDO VALPROICO 500mg X30COM.,ANDROMACO FARMA,$ 8.199,40%,$ 4.919
37,ACIDO VALPROICO,ATEMPERATOR 10mg/ml GTAS.X25ml,FERRER,$ 22.899,43%,$ 13.052
38,ACIDO VALPROICO,DIVALPREX (B) 250mg X50COM.REC.,GADORPHARMA SPA,$ 20.899,52%,$ 10.032
39,ADIFENINA + PROPIFENAZONA,SAE PED.X6SUP.,PASTEUR,$ 8.799,46%,$ 4.751
40,ADIFENINA + PROPIFENAZONA,SAE AD.X6SUP.,PASTEUR,$ 13.199,58%,$ 5.544
41,AEROCAMARA,AEROFACIDOSE AEROCAMARA LACTANTE,LABORATORIO CHILE,$ 9.299,15%,$ 7.904
42,AEROCAMARA,AEROFACIDOSE AEROCAMARA AD/ESCOLAR,LABORATORIO CHILE,$ 9.299,15%,$ 7.904
43,AEROCAMARA,MED CELL AEROCAMARA UNIVERSAL,MEDCELL ACCESORIOS,$ 5.499,20%,$ 4.399
44,AEROCAMARA,ALLBRIEFS AEROCAMARA BIVALVULADA PED.,MED CELL IMPORTACIONES,$ 10.499,37%,$ 6.614
45,AEROCAMARA,AEROCAMARA UNIVERSAL,MED CELL IMPORTACIONES,$ 7.199,67%,$ 2.376
46,ALBENDAZOL,VERMOIL 200mg X2COM.,FARMOQUIMICA DEL PACIFICO,$ 5.199,16%,$ 4.367
47,ALBENDAZOL,ZENTEL 400mg X3COM.,GLAXO,$ 28.199,27%,$ 20.585
48,ALBENDAZOL,VERMOIL 40mg/ml S.O.X10ml,FARMOQUIMICA DEL PACIFICO,$ 7.799,36%,$ 4.991
49,ALCOHOL DESNATURALIZADO,ALCOGEL 70 JB.LIQ.X340ml,DIFEM PHARMA S.A.,$ 2.299,14%,$ 1.977
50,ALCOHOL POLIVINILICO + CLOROBUTANOL,LAGRIMAS ARTIFICIALES SOF.X15ml,HOSPIFARMA,$ 2.799,60%,$ 1.120
51,ALENDRONATO,ALDROX (B) 70mg X10COM.REC.,PASTEUR,$ 13.999,20%,$ 11.199
52,ALENDRONATO,FOSVAL (B) 70mg X12COM.,SAVAL S.A.,$ 24.499,43%,$ 13.964
53,ALOPURINOL,ALOPURINOL (B) 300mg X20COM.,HOSPIFARMA,$ 2.499,53%,$ 1.175
54,ALOPURINOL,ALOPURINOL (B) 100mg X20COM.,HOSPIFARMA,$ 1.799,58%,$ 756
